"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","abs_lf2c"
"ENSG00000179593",67.2430476358842,9.50597241247417,1.05450220396258,9.01465390660436,1.9749305907554e-19,1.25366368627248e-17,9.50597241247417
"ENSG00000109906",385.071028862516,7.35262793318718,0.536390220039325,13.7076099796304,9.14198752722763e-43,2.25769522110767e-40,7.35262793318718
"ENSG00000250978",56.3181939282226,6.32738373970978,0.677797382676725,9.33521418262487,1.00787266787432e-20,7.21028907001521e-19,6.32738373970978
"ENSG00000132518",5.65465445433956,5.88511165460835,1.32404324481733,4.44480320234578,8.79723587201401e-06,0.000100060926372662,5.88511165460835
"ENSG00000128285",6.62474139908411,-5.3259051475561,1.25781646246916,-4.23424665399996,2.29319143099375e-05,0.000238006074369346,5.3259051475561
"ENSG00000127954",286.384119280247,5.20716032804828,0.493082760580171,10.5604185429672,4.54630170772593e-26,5.05930414733846e-24,5.20716032804828
"ENSG00000265702",3.3309798337281,5.19237457201266,1.49492388179696,3.47333709444204,0.000514029305067644,NA,5.19237457201266
"ENSG00000249364",8.83906075961539,5.09810727073442,1.15961389779343,4.39638338280989,1.10069452832727e-05,0.000122489635535087,5.09810727073442
"ENSG00000171819",254.884372679829,5.08157228067981,0.757301587774939,6.7101038248318,1.94485983868102e-11,5.16376040820933e-10,5.08157228067981
"ENSG00000100033",55.3631369152134,4.88960933093183,0.522367694285389,9.36047421083521,7.93796125592967e-21,5.72422262087601e-19,4.88960933093183
